,team,opponent,gf,ga,match_result,head_to_head,head_to_head_goals
1402,NottinghamForest,Manchester City,0,2,-1,-1.0,0.0
1403,NottinghamForest,Sheffield Utd,3,1,1,1.0,2.5
1404,NottinghamForest,Chelsea,2,3,-1,0.0,1.5
1405,NottinghamForest,Burnley,2,1,1,0.5,1.5
1406,LutonTown,Brighton,1,4,-1,0.0,2.5
1407,LutonTown,Chelsea,0,3,-1,-1.0,1.0
1408,LutonTown,West Ham,1,2,-1,-1.0,1.0
1409,LutonTown,Fulham,0,1,-1,-1.0,1.0
1410,LutonTown,Wolves,1,1,0,-0.5,1.0
1411,LutonTown,Everton,2,1,1,0.5,1.5
1412,LutonTown,Burnley,1,2,-1,-0.5,1.0
1413,LutonTown,Tottenham,0,1,-1,-1.0,0.5
1414,LutonTown,Nott'ham Forest,2,2,0,0.0,1.5
1415,LutonTown,Aston Villa,1,3,-1,-1.0,1.5
1416,LutonTown,Liverpool,1,1,0,-0.5,1.0
1417,LutonTown,Manchester Utd,0,1,-1,-1.0,0.5
1418,LutonTown,Crystal Palace,2,1,1,0.5,1.5
1419,LutonTown,Brentford,1,3,-1,-1.0,1.0
1420,LutonTown,Arsenal,3,4,-1,-1.0,1.5
1421,LutonTown,Manchester City,1,2,-1,-1.0,1.0
1422,LutonTown,Newcastle Utd,1,0,1,0.5,2.5
1423,LutonTown,Sheffield Utd,3,2,1,0.0,2.0
1424,LutonTown,Chelsea,2,3,-1,-1.0,1.0
1425,LutonTown,Burnley,1,1,0,-0.5,1.0
1426,LutonTown,Brighton,4,0,1,0.0,2.5
1427,LutonTown,Newcastle Utd,4,4,0,0.5,2.5
1428,LutonTown,Sheffield Utd,1,3,-1,0.0,2.0
1429,LutonTown,Manchester Utd,1,2,-1,-1.0,0.5
1430,LutonTown,Liverpool,1,4,-1,-0.5,1.0
1431,LutonTown,Aston Villa,2,3,-1,-1.0,1.5
1432,LutonTown,Crystal Palace,1,1,0,0.5,1.5
1433,LutonTown,Bournemouth,3,4,-1,0.0,2.5
1434,LutonTown,Nott'ham Forest,1,1,0,0.0,1.5
1435,LutonTown,Tottenham,1,2,-1,-1.0,0.5
1436,LutonTown,Arsenal,0,2,-1,-1.0,1.5
1437,LutonTown,Bournemouth,2,1,1,0.0,2.5
1438,LutonTown,Manchester City,1,5,-1,-1.0,1.0
1439,LutonTown,Brentford,1,5,-1,-1.0,1.0
1440,LutonTown,Wolves,1,2,-1,-0.5,1.0
1441,LutonTown,Everton,1,1,0,0.5,1.5
1442,LutonTown,West Ham,1,3,-1,-1.0,1.0
1443,LutonTown,Fulham,2,4,-1,-1.0,1.0
1444,Burnley,Manchester City,0,3,-1,-1.0,0.5
1445,Burnley,Aston Villa,1,3,-1,-1.0,1.3333333333333333
1446,Burnley,Tottenham,2,5,-1,-0.3333333333333333,1.3333333333333333
1447,Burnley,Nott'ham Forest,1,1,0,-0.5,1.0
1448,Burnley,Manchester Utd,0,1,-1,-0.5,0.5
1449,Burnley,Newcastle Utd,0,2,-1,-1.0,0.5
1450,Burnley,Luton Town,2,1,1,0.5,1.5
1451,Burnley,Chelsea,1,4,-1,-0.6666666666666666,1.0
1452,Burnley,Brentford,0,3,-1,0.3333333333333333,1.6666666666666667
1453,Burnley,Bournemouth,1,2,-1,-1.0,0.5
1454,Burnley,Crystal Palace,0,2,-1,-0.6666666666666666,1.0
1455,Burnley,Arsenal,1,3,-1,-1.0,0.3333333333333333
1456,Burnley,West Ham,1,2,-1,-0.3333333333333333,1.0
1457,Burnley,Sheffield Utd,5,0,1,1.0,4.5
1458,Burnley,Wolves,0,1,-1,0.0,0.6666666666666666
1459,Burnley,Brighton,1,1,0,-0.3333333333333333,1.0
1460,Burnley,Everton,0,2,-1,-0.3333333333333333,1.0
1461,Burnley,Fulham,2,0,1,0.5,2.0
1462,Burnley,Liverpool,0,2,-1,-1.0,0.3333333333333333
1463,Burnley,Aston Villa,2,3,-1,-1.0,1.3333333333333333
1464,Burnley,Luton Town,1,1,0,0.5,1.5
1465,Burnley,Manchester City,1,3,-1,-1.0,0.5
1466,Burnley,Fulham,2,2,0,0.5,2.0
1467,Burnley,Liverpool,1,3,-1,-1.0,0.3333333333333333
1468,Burnley,Arsenal,0,5,-1,-1.0,0.3333333333333333
1469,Burnley,Crystal Palace,0,3,-1,-0.6666666666666666,1.0
1470,Burnley,Bournemouth,0,2,-1,-1.0,0.5
1471,Burnley,West Ham,2,2,0,-0.3333333333333333,1.0
1472,Burnley,Brentford,2,1,1,0.3333333333333333,1.6666666666666667
1473,Burnley,Chelsea,2,2,0,-0.6666666666666666,1.0
1474,Burnley,Wolves,1,1,0,0.0,0.6666666666666666
1475,Burnley,Everton,0,1,-1,-0.3333333333333333,1.0
1476,Burnley,Brighton,1,1,0,-0.3333333333333333,1.0
1477,Burnley,Sheffield Utd,4,1,1,1.0,4.5
1478,Burnley,Manchester Utd,1,1,0,-0.5,0.5
1479,Burnley,Newcastle Utd,1,4,-1,-1.0,0.5
1480,Burnley,Tottenham,1,2,-1,-0.3333333333333333,1.3333333333333333
1481,Burnley,Nott'ham Forest,1,2,-1,-0.5,1.0
1482,SheffieldUnited,Crystal Palace,0,1,-1,-1.0,1.0
1483,SheffieldUnited,Nott'ham Forest,1,2,-1,-1.0,1.0
1484,SheffieldUnited,Manchester City,1,2,-1,-1.0,0.5
1485,SheffieldUnited,Everton,2,2,0,-0.5,1.0
1486,SheffieldUnited,Tottenham,1,2,-1,-1.0,0.5
1487,SheffieldUnited,Newcastle Utd,0,8,-1,-1.0,0.5
1488,SheffieldUnited,West Ham,0,2,-1,-0.5,1.0
1489,SheffieldUnited,Fulham,1,3,-1,-0.5,2.0
1490,SheffieldUnited,Manchester Utd,1,2,-1,-1.0,1.5
1491,SheffieldUnited,Arsenal,0,5,-1,-1.0,0.0
1492,SheffieldUnited,Wolves,2,1,1,0.0,1.0
1493,SheffieldUnited,Brighton,1,1,0,-0.5,0.5
1494,SheffieldUnited,Bournemouth,1,3,-1,-0.5,1.5
1495,SheffieldUnited,Burnley,0,5,-1,-1.0,0.5
1496,SheffieldUnited,Liverpool,0,2,-1,-1.0,0.5
1497,SheffieldUnited,Brentford,1,0,1,0.0,0.5
1498,SheffieldUnited,Chelsea,0,2,-1,-0.5,1.0
1499,SheffieldUnited,Aston Villa,1,1,0,-0.5,0.5
1500,SheffieldUnited,Luton Town,2,3,-1,0.0,2.5
1501,SheffieldUnited,Manchester City,0,2,-1,-1.0,0.5
1502,SheffieldUnited,West Ham,2,2,0,-0.5,1.0
1503,SheffieldUnited,Crystal Palace,2,3,-1,-1.0,1.0
1504,SheffieldUnited,Aston Villa,0,5,-1,-0.5,0.5
1505,SheffieldUnited,Luton Town,3,1,1,0.0,2.5
1506,SheffieldUnited,Brighton,0,5,-1,-0.5,0.5
1507,SheffieldUnited,Wolves,0,1,-1,0.0,1.0
1508,SheffieldUnited,Arsenal,0,6,-1,-1.0,0.0
1509,SheffieldUnited,Bournemouth,2,2,0,-0.5,1.5
1510,SheffieldUnited,Fulham,3,3,0,-0.5,2.0
1511,SheffieldUnited,Liverpool,1,3,-1,-1.0,0.5
1512,SheffieldUnited,Chelsea,2,2,0,-0.5,1.0
1513,SheffieldUnited,Brentford,0,2,-1,0.0,0.5
1514,SheffieldUnited,Burnley,1,4,-1,-1.0,0.5
1515,SheffieldUnited,Manchester Utd,2,4,-1,-1.0,1.5
1516,SheffieldUnited,Newcastle Utd,1,5,-1,-1.0,0.5
1517,SheffieldUnited,Nott'ham Forest,1,3,-1,-1.0,1.0
1518,SheffieldUnited,Everton,0,1,-1,-0.5,1.0
1519,SheffieldUnited,Tottenham,0,3,-1,-1.0,0.5
