,team,opponent,gf,ga,match_result,head_to_head,head_to_head_goals
477,Brighton,Nottingham,0,0,0,0.0,0.0
478,Crystal Palace,Wolves,2,1,1,1.0,2.0
479,Bournemouth,Southampton,0,1,-1,-1.0,0.0
480,Brentford,Chelsea,0,0,0,0.0,1.0
481,Liverpool,West Ham,1,0,1,0.75,1.75
482,Newcastle,Everton,1,0,1,1.0,2.0
483,Man United,Tottenham,2,0,1,1.0,2.5
484,Fulham,Aston Villa,3,0,1,-0.3333333333333333,1.6666666666666667
485,Leicester,Leeds,2,0,1,1.0,1.5
486,Nottingham,Liverpool,1,0,1,1.0,1.0
487,Everton,Crystal Palace,3,0,1,0.75,2.5
488,Man City,Brighton,3,1,1,1.0,3.0
489,Chelsea,Man United,1,1,0,0.0,1.0
490,Aston Villa,Brentford,4,0,1,0.5,2.5
491,Leeds,Fulham,2,3,-1,-1.0,2.0
492,Southampton,Arsenal,1,1,0,0.5,1.0
493,Wolves,Leicester,0,4,-1,0.0,1.0
494,Tottenham,Newcastle,1,2,-1,0.0,3.0
495,West Ham,Bournemouth,2,0,1,1.0,2.0
496,Leicester,Man City,0,1,-1,-1.0,0.0
497,Bournemouth,Tottenham,2,3,-1,-1.0,1.0
498,Brentford,Wolves,1,1,0,-0.25,1.25
499,Brighton,Chelsea,4,1,1,0.5,2.5
500,Crystal Palace,Southampton,1,0,1,0.5,1.5
501,Newcastle,Aston Villa,4,0,1,1.0,2.5
